,hv010,hv011,hv012,hv014,hv216
853,0,0,2,0,1
854,1,1,5,1,1
855,2,0,12,6,4
856,2,1,6,1,2
857,1,0,4,2,1
858,1,0,3,1,1
859,1,0,9,1,4
860,1,1,3,1,1
861,3,1,7,1,3
862,1,0,3,0,4
863,0,0,1,0,2
864,2,1,7,1,4
865,1,2,6,1,3
866,1,1,5,1,2
867,3,0,5,0,2
868,0,0,3,0,3
869,1,0,5,0,5
870,1,1,5,2,3
871,1,0,1,0,2
872,0,0,2,1,1
873,1,3,7,1,2
874,1,1,4,1,1
875,1,0,6,2,4
876,0,0,4,1,3
877,2,0,10,4,3
878,2,0,8,2,2
879,1,2,6,2,2
880,1,0,9,0,4
881,0,1,3,0,1
882,1,0,6,1,1
883,3,0,11,2,3
884,1,2,6,1,3
885,1,1,2,0,1
886,1,0,4,0,3
887,0,1,2,0,2
888,3,0,8,1,3
889,0,0,1,0,1
890,0,0,5,0,2
891,2,0,7,0,3
892,1,1,6,1,3
893,2,0,11,4,4
894,1,1,4,2,1
895,0,0,1,0,1
896,2,3,10,2,5
897,1,2,12,1,4
898,0,0,2,0,1
899,0,0,3,0,4
900,1,0,3,1,1
901,3,0,7,1,3
902,3,3,15,3,7
903,2,1,8,3,2
904,1,0,4,1,2
905,1,0,5,2,1
906,1,2,6,1,3
907,1,0,4,1,2
908,1,2,4,0,2
909,1,1,4,1,4
910,2,1,8,2,1
911,2,1,7,2,3
912,1,0,6,2,2
913,1,0,2,0,1
914,1,0,5,2,4
915,1,0,2,0,1
916,2,2,8,1,4
917,0,0,2,0,2
918,1,0,5,2,3
919,2,3,7,2,4
920,1,1,4,1,2
921,3,1,6,0,2
922,3,0,14,5,3
923,1,0,3,0,2
924,1,0,5,0,4
925,1,1,5,2,2
926,1,1,5,0,3
927,1,1,6,2,2
928,1,1,5,1,8
929,1,1,2,0,2
930,1,1,4,2,2
931,2,1,5,1,2
932,1,0,3,0,3
933,1,0,3,1,2
934,2,1,5,1,3
935,1,3,10,1,4
936,1,1,5,1,1
937,1,0,4,1,3
938,1,0,4,0,4
939,1,0,4,2,2
940,4,2,11,2,6
941,2,0,8,1,2
942,1,1,4,1,2
943,1,0,5,0,3
944,0,0,3,2,4
945,2,0,6,1,1
946,0,0,2,0,1
947,0,1,5,1,3
948,2,1,9,3,2
949,1,1,8,0,3
950,0,0,3,0,2
951,1,1,5,2,2
952,0,1,4,2,1
953,0,0,1,0,1
954,1,1,4,1,2
955,2,0,4,0,2
956,1,0,9,1,4
957,1,0,6,0,2
958,2,0,3,0,3
959,1,0,1,0,1
960,3,1,7,0,2
961,1,0,4,0,1
962,1,0,3,1,1
963,0,0,6,2,3
964,0,0,2,0,1
965,1,1,6,1,2
966,1,0,1,0,3
967,1,1,4,2,1
968,2,0,4,0,2
969,1,1,6,0,3
970,2,0,10,1,5
971,2,5,11,1,4
972,2,1,6,2,3
973,1,0,7,3,2
974,1,0,2,0,1
975,1,2,3,0,3
976,0,0,5,0,5
977,4,0,9,0,5
978,1,0,3,0,1
979,0,0,4,0,3
980,1,1,3,0,4
981,2,0,6,2,2
982,1,1,3,1,1
983,1,0,7,2,2
984,1,1,5,1,3
985,0,0,5,1,3
986,0,0,1,0,1
987,3,0,6,2,3
988,1,0,8,1,3
989,0,0,5,0,3
990,1,0,4,1,1
991,2,1,10,3,4
992,2,0,8,0,3
993,0,1,1,0,1
994,1,0,6,1,2
995,2,2,5,1,4
996,3,0,8,0,3
997,1,1,6,2,4
998,2,1,7,3,5
999,1,0,7,2,2
1000,1,0,10,1,4
1001,1,1,7,2,3
1002,1,0,4,2,1
1003,1,1,4,1,2
1004,0,1,5,0,3
1005,1,0,6,1,2
1006,0,0,4,0,3
1007,2,1,14,2,7
1008,1,0,7,0,4
1009,1,0,7,1,2
1010,1,1,5,2,4
1011,1,0,4,1,4
1012,0,0,1,0,1
1013,0,0,1,0,1
1014,1,0,5,3,2
1015,1,0,9,0,5
1016,1,0,9,3,5
1017,0,1,3,0,2
1018,1,0,5,2,3
1019,1,1,8,0,2
1020,1,1,8,2,5
1021,1,1,4,1,3
1022,1,0,4,2,3
1023,1,0,5,1,3
1024,1,0,3,1,1
1025,2,0,6,1,3
1026,1,1,5,1,1
1027,2,0,7,2,4
1028,1,0,4,1,2
1029,2,2,5,0,4
1030,4,3,9,2,4
1031,0,1,3,1,1
1032,0,1,2,1,5
1033,0,2,9,1,6
1034,0,1,1,0,1
1035,0,0,5,1,1
1036,1,2,4,0,3
1037,3,0,7,0,3
1038,0,1,1,0,2
1039,0,0,2,0,2
1040,1,0,2,0,1
1041,1,1,7,1,3
1042,0,0,2,0,4
1043,2,0,9,0,4
1044,2,0,7,1,2
1045,2,1,5,1,3
1046,0,0,3,0,2
1047,1,0,1,0,1
1048,2,2,7,1,2
1049,0,0,2,0,1
1050,0,0,5,0,3
1051,1,1,5,3,2
1052,1,1,3,1,1
1053,1,0,3,1,1
1054,0,0,4,1,5
1055,1,1,8,2,1
1056,0,0,3,1,1
1057,0,1,4,2,1
1058,1,1,5,2,2
1059,0,0,1,0,2
1060,2,0,7,1,4
1061,2,1,7,0,4
1062,1,0,2,1,1
1063,1,2,7,0,4
1064,0,0,3,0,3
1065,1,1,5,2,2
1066,0,1,2,0,1
1067,0,1,6,2,3
1068,1,1,4,0,2
1069,1,0,2,0,2
1070,0,1,1,0,1
1071,2,0,7,1,3
1072,2,1,7,0,2
1073,0,0,3,1,1
1074,0,1,5,0,2
1075,2,0,12,2,6
1076,1,0,4,1,3
1077,1,1,3,1,1
1078,2,1,10,4,3
1079,1,3,6,1,2
1080,1,1,2,0,1
1081,1,0,11,2,5
1082,0,0,5,1,3
1083,2,0,6,1,2
1084,1,1,3,1,1
1085,1,0,6,2,2
1086,2,0,10,2,3
1087,1,1,9,3,6
1088,0,0,6,1,2
1089,2,0,5,1,2
1090,0,1,5,1,2
1091,2,0,5,2,1
1092,3,0,10,4,4
1093,1,0,4,1,2
1094,1,0,9,1,4
1095,1,0,3,1,1
1096,0,0,7,1,5
1097,0,1,1,0,1
1098,0,0,1,0,1
1099,1,0,5,0,3
1100,1,0,5,1,3
1101,1,1,3,1,2
1102,1,1,3,1,1
1103,1,1,4,0,2
1104,2,1,7,3,3
1105,2,0,7,1,3
1106,2,0,6,0,3
1107,1,0,6,1,4
1108,2,1,7,3,3
1109,0,0,5,0,3
1110,0,0,3,0,3
1111,1,0,7,0,3
1112,1,0,6,3,1
1113,0,0,2,0,1
1114,2,2,7,0,4
1115,0,1,4,0,2
1116,1,0,4,2,1
1117,2,0,7,2,5
1118,1,0,4,1,1
1119,1,0,4,1,2
1120,1,0,5,0,3
1121,0,1,4,0,5
1122,2,5,10,1,3
1123,1,0,5,0,4
1124,4,1,8,1,5
1125,1,3,8,1,4
1126,0,0,3,1,1
1127,3,0,3,0,3
1128,2,0,6,0,1
1129,0,0,4,0,2
1130,1,2,8,2,3
1131,1,0,4,3,1
1132,5,0,6,1,4
1133,0,1,1,0,3
1134,0,1,5,0,2
1135,1,1,8,2,3
1136,1,0,7,1,4
1137,1,0,5,1,3
1138,1,0,5,3,2
1139,1,0,4,2,1
1140,0,0,6,1,3
1141,0,0,3,1,2
1142,1,0,2,0,1
1143,1,0,7,2,2
1144,1,0,4,1,1
